archivo,b0_prioridad,b0_direccion,b0_lock,b0_descanso,b1_prioridad,b1_direccion,b1_lock,b1_descanso,nb0_prioridad,nb0_direccion,nb0_lock,nb0_descanso,nb1_prioridad,nb1_direccion,nb1_lock,nb1_descanso,uso_bus_%,throughput(bytes/ns),master_1_%,master_2_%,master_3_%,master_4_%,master_-_%
bus_log_000001.csv,3,0,1,8,4,0,1,32,1,0,1,16,2,0,0,8,100.0,0.400133,50.0,50.0,,,
bus_log_000002.csv,4,1024,1,16,2,0,1,32,3,0,0,4,1,1024,1,32,100.0,0.400133,33.33,48.53,15.1,3.03,
bus_log_000003.csv,1,1024,0,16,3,1024,1,4,4,0,0,8,2,1024,0,4,100.0,0.400133,64.0,24.0,10.77,1.23,
bus_log_000004.csv,1,1024,1,4,2,1024,1,8,4,1024,1,16,3,0,0,4,100.0,0.400133,65.37,32.57,2.03,0.03,
bus_log_000005.csv,3,1024,1,8,2,1024,1,32,1,0,1,4,4,0,0,32,99.9,0.399733,66.67,28.13,4.77,0.33,0.1
bus_log_000006.csv,4,0,0,16,2,1024,0,8,3,1024,1,8,1,0,1,8,100.0,0.400133,66.67,28.83,4.5,,
bus_log_000007.csv,3,0,1,8,2,1024,0,4,4,0,1,16,1,0,1,16,100.0,0.400133,50.0,40.0,10.0,,
bus_log_000008.csv,1,0,1,16,3,1024,0,16,4,1024,1,4,2,0,0,4,100.0,0.400133,64.0,24.0,10.77,1.23,
bus_log_000009.csv,3,0,1,16,4,0,1,32,1,0,1,8,2,0,0,32,100.0,0.400133,66.67,22.23,10.77,0.33,
bus_log_000010.csv,1,1024,0,32,3,1024,0,8,4,1024,1,16,2,1024,1,8,100.0,0.400133,59.2,29.13,10.07,1.6,
bus_log_000011.csv,1,1024,0,4,2,1024,0,32,4,0,1,8,3,1024,1,8,100.0,0.400133,65.43,32.57,2.0,,
bus_log_000012.csv,3,1024,0,16,2,0,0,32,1,1024,0,16,4,1024,0,8,100.0,0.400133,50.0,38.07,11.07,0.87,
bus_log_000013.csv,4,0,1,4,2,0,0,4,1,1024,1,8,3,0,1,16,100.0,0.400133,65.47,29.13,5.4,,
bus_log_000014.csv,4,0,1,8,3,1024,0,8,2,1024,0,16,1,0,0,4,100.0,0.400133,66.67,33.33,,,
bus_log_000015.csv,1,0,1,8,4,1024,0,16,3,0,1,4,2,1024,0,4,100.0,0.400133,65.43,24.4,10.17,,
bus_log_000016.csv,3,0,0,32,4,0,1,16,1,0,1,8,2,1024,0,32,100.0,0.400133,66.67,22.23,10.77,0.33,
bus_log_000017.csv,1,0,1,32,3,0,0,4,4,1024,1,32,2,0,0,4,99.7,0.398933,61.47,26.97,10.33,0.93,0.3
bus_log_000018.csv,3,0,1,16,2,0,1,8,1,1024,0,16,4,0,1,32,100.0,0.400133,50.0,40.0,10.0,,
bus_log_000019.csv,1,1024,1,16,3,1024,1,16,2,1024,0,8,4,1024,0,4,100.0,0.400133,64.0,24.0,10.77,1.23,
bus_log_000020.csv,4,1024,1,8,2,1024,0,8,1,1024,0,16,3,0,1,8,100.0,0.400133,50.0,40.0,10.0,,
bus_log_000021.csv,4,1024,1,16,3,1024,0,4,2,1024,0,8,1,0,1,16,100.0,0.400133,50.0,50.0,,,
bus_log_000022.csv,1,1024,0,4,2,0,0,8,4,0,0,8,3,0,1,16,100.0,0.400133,65.43,32.57,2.0,,
bus_log_000023.csv,3,1024,1,16,4,0,0,16,1,1024,0,16,2,0,0,32,100.0,0.400133,50.0,25.0,22.2,2.8,
bus_log_000024.csv,1,1024,0,8,3,0,1,32,2,0,1,16,4,0,1,4,100.0,0.400133,64.03,19.97,16.0,,
bus_log_000025.csv,1,0,0,32,2,0,1,16,3,0,1,16,4,1024,0,8,100.0,0.400133,61.47,31.0,5.67,1.87,
bus_log_000026.csv,4,0,1,8,3,1024,0,16,2,1024,0,4,1,1024,1,8,100.0,0.400133,66.67,33.33,,,
bus_log_000027.csv,4,1024,1,16,2,1024,1,16,3,1024,1,16,1,1024,0,8,100.0,0.400133,64.2,30.2,5.6,,
bus_log_000028.csv,3,0,1,4,4,0,1,32,1,0,0,32,2,0,1,32,100.0,0.400133,33.33,33.33,29.6,3.73,
bus_log_000029.csv,1,1024,0,32,4,1024,1,4,2,0,0,16,3,1024,1,16,100.0,0.400133,61.47,19.27,19.27,,
bus_log_000030.csv,1,1024,1,4,2,0,0,32,4,0,0,8,3,0,1,4,100.0,0.400133,65.43,32.57,2.0,,
bus_log_000031.csv,3,1024,0,32,2,1024,0,8,4,0,0,8,1,0,0,4,100.0,0.400133,66.67,28.83,4.07,0.43,
bus_log_000032.csv,1,1024,0,4,3,1024,0,8,2,0,0,8,4,0,1,16,100.0,0.400133,65.4,24.1,9.23,1.27,
bus_log_000033.csv,1,1024,0,16,2,1024,1,4,3,0,0,32,4,0,1,16,99.03,0.396265,63.47,31.7,1.93,1.93,0.97
bus_log_000034.csv,1,1024,1,16,4,0,0,8,2,1024,0,8,3,1024,0,4,100.0,0.400133,64.0,24.0,12.0,,
bus_log_000035.csv,4,1024,1,8,2,1024,0,4,3,1024,0,4,1,0,0,4,100.0,0.400133,66.67,28.83,4.5,,
bus_log_000036.csv,3,1024,0,32,2,1024,0,32,4,1024,1,16,1,1024,0,16,100.0,0.400133,50.0,38.07,9.67,2.27,
bus_log_000037.csv,1,1024,0,16,3,1024,0,32,2,1024,1,16,4,1024,0,32,100.0,0.400133,64.0,20.0,16.0,,
bus_log_000038.csv,1,1024,1,32,2,1024,0,4,3,0,0,16,4,1024,1,4,100.0,0.400133,61.47,31.03,3.77,3.73,
bus_log_000039.csv,4,1024,1,16,3,0,1,4,2,0,1,32,1,1024,0,32,100.0,0.400133,33.33,33.33,29.6,3.73,
bus_log_000040.csv,4,1024,0,16,2,0,0,32,3,0,1,16,1,0,1,4,100.0,0.400133,64.97,28.13,6.9,,
bus_log_000041.csv,3,0,0,32,4,1024,0,16,1,0,1,16,2,1024,1,4,100.0,0.400133,50.0,50.0,,,
bus_log_000042.csv,1,0,1,32,4,0,0,4,2,1024,1,16,3,0,0,8,100.0,0.400133,61.47,19.27,19.27,,
bus_log_000043.csv,1,0,1,32,2,1024,1,8,4,0,1,8,3,0,1,8,100.0,0.400133,61.47,31.03,5.63,1.87,
bus_log_000044.csv,3,1024,0,32,2,0,0,16,4,1024,1,16,1,1024,0,16,100.0,0.400133,50.0,40.0,10.0,,
bus_log_000045.csv,4,1024,0,16,2,0,0,32,3,1024,1,32,1,1024,0,8,99.97,0.4,66.67,28.13,3.5,1.67,0.03
bus_log_000046.csv,3,1024,0,16,4,0,1,16,1,1024,1,16,2,0,0,16,100.0,0.400133,50.0,50.0,,,
bus_log_000047.csv,1,1024,1,16,4,0,1,16,2,0,0,32,3,1024,0,16,100.0,0.400133,64.0,16.0,12.0,8.0,
bus_log_000048.csv,1,1024,1,8,2,0,0,8,4,1024,0,8,3,1024,0,16,100.0,0.400133,65.43,32.57,2.0,,
bus_log_000049.csv,3,1024,1,4,2,1024,1,4,4,0,1,16,1,1024,1,16,100.0,0.400133,50.0,40.0,10.0,,
bus_log_000050.csv,1,0,0,4,3,0,1,4,2,0,1,16,4,1024,0,32,100.0,0.400133,64.03,19.97,16.0,,
bus_log_000051.csv,1,1024,1,8,2,0,1,8,3,0,0,32,4,0,0,16,100.0,0.400133,65.37,32.57,2.0,0.07,
bus_log_000052.csv,4,1024,0,16,3,0,1,32,2,1024,1,16,1,0,0,16,100.0,0.400133,50.0,50.0,,,
bus_log_000053.csv,4,0,1,8,2,1024,0,8,3,0,1,4,1,0,0,16,100.0,0.400133,50.0,40.0,10.0,,
bus_log_000054.csv,3,1024,0,4,2,1024,0,32,4,1024,1,32,1,0,0,4,99.9,0.399733,66.67,28.13,4.77,0.33,0.1
bus_log_000055.csv,1,0,1,4,4,0,0,32,2,1024,0,32,3,1024,1,32,99.1,0.396532,65.43,12.23,12.2,9.23,0.9
bus_log_000056.csv,1,0,1,8,2,0,1,8,3,1024,1,4,4,1024,0,32,100.0,0.400133,65.33,32.57,2.07,0.03,
bus_log_000057.csv,3,1024,0,8,2,1024,1,8,1,0,0,4,4,1024,0,32,99.87,0.3996,66.67,28.83,4.07,0.3,0.13
bus_log_000058.csv,4,1024,1,4,2,0,0,32,3,1024,1,4,1,0,1,8,100.0,0.400133,66.67,28.13,5.2,,
bus_log_000059.csv,4,0,1,4,2,1024,1,32,1,1024,0,16,3,0,0,32,100.0,0.400133,50.0,38.07,7.13,4.8,
bus_log_000060.csv,1,1024,0,8,4,0,0,8,2,1024,0,4,3,1024,1,4,100.0,0.400133,65.43,24.4,10.17,,
bus_log_000061.csv,1,1024,0,4,4,1024,0,16,3,0,0,16,2,1024,0,8,100.0,0.400133,65.43,24.4,10.17,,
bus_log_000062.csv,3,0,1,8,2,0,1,8,4,1024,1,8,1,0,0,8,100.0,0.400133,66.67,28.83,4.07,0.43,
bus_log_000063.csv,4,0,0,16,2,0,1,4,3,0,1,32,1,0,1,4,100.0,0.400133,66.67,28.83,3.6,0.9,
bus_log_000064.csv,1,1024,1,8,2,1024,1,32,3,1024,1,8,4,0,1,4,100.0,0.400133,65.4,32.57,2.03,,
bus_log_000065.csv,1,0,0,16,4,1024,0,8,2,0,1,16,3,1024,0,8,100.0,0.400133,64.0,20.0,16.0,,
bus_log_000066.csv,4,0,1,4,2,0,1,4,3,0,1,32,1,0,1,8,100.0,0.400133,66.67,28.83,3.6,0.9,
bus_log_000067.csv,3,0,1,4,2,1024,1,16,4,0,1,32,1,1024,1,8,99.87,0.3996,66.07,29.33,4.17,0.3,0.13
bus_log_000068.csv,1,1024,0,8,3,0,1,32,4,0,1,32,2,1024,0,16,100.0,0.400133,65.43,18.3,16.27,,
bus_log_000069.csv,1,0,0,8,2,1024,0,32,3,1024,0,16,4,1024,0,32,100.0,0.400133,65.43,32.57,2.0,,
bus_log_000070.csv,3,1024,0,8,2,1024,1,32,1,1024,0,4,4,1024,1,32,99.9,0.399733,66.67,28.13,4.77,0.33,0.1
bus_log_000071.csv,4,1024,1,8,2,1024,1,4,3,1024,0,4,1,1024,0,8,100.0,0.400133,66.67,28.83,4.5,,
bus_log_000072.csv,4,0,0,32,2,0,0,8,1,1024,1,8,3,1024,0,16,100.0,0.400133,66.67,28.83,4.5,,
bus_log_000073.csv,1,0,1,32,4,0,1,16,2,1024,0,4,3,1024,0,4,100.0,0.400133,61.47,26.97,11.57,,
bus_log_000074.csv,1,1024,0,4,2,0,1,16,3,1024,0,16,4,1024,1,8,100.0,0.400133,65.4,32.57,2.03,,
bus_log_000075.csv,3,1024,0,32,2,0,0,32,4,1024,0,16,1,0,0,32,99.93,0.399867,33.33,48.53,16.0,2.07,0.07
bus_log_000076.csv,4,0,1,4,2,0,0,4,3,1024,0,4,1,0,1,4,100.0,0.400133,66.67,28.83,4.5,,
bus_log_000077.csv,4,1024,0,4,2,0,0,32,1,1024,1,32,3,1024,0,8,100.0,0.400133,33.33,48.53,15.1,3.03,
bus_log_000078.csv,1,0,0,16,4,1024,0,8,2,1024,1,16,3,0,0,8,100.0,0.400133,64.0,20.0,16.0,,
bus_log_000079.csv,1,0,1,16,4,1024,0,4,3,1024,1,32,2,1024,1,32,100.0,0.400133,64.0,16.0,12.0,8.0,
bus_log_000080.csv,3,0,0,4,2,0,0,8,4,0,0,32,1,0,1,8,99.87,0.3996,66.67,28.83,4.07,0.3,0.13
bus_log_000081.csv,1,0,0,4,3,0,0,16,4,1024,0,16,2,1024,1,16,100.0,0.400133,64.03,19.97,16.0,,
bus_log_000082.csv,1,0,1,16,2,0,1,32,3,0,1,4,4,1024,1,4,100.0,0.400133,64.0,32.07,3.93,,
bus_log_000083.csv,3,0,0,16,2,0,1,4,1,0,0,32,4,0,1,32,98.43,0.393865,33.07,50.47,12.63,2.27,1.57
bus_log_000084.csv,4,0,0,8,2,0,0,4,3,0,1,16,1,1024,1,8,100.0,0.400133,65.47,29.13,5.4,,
bus_log_000085.csv,3,0,1,32,2,0,1,16,4,1024,0,8,1,0,0,32,99.93,0.399867,33.33,48.53,16.0,2.07,0.07
bus_log_000086.csv,1,1024,1,8,3,0,0,4,4,1024,1,8,2,0,1,16,100.0,0.400133,64.03,19.97,16.0,,
bus_log_000087.csv,1,0,1,32,2,1024,0,4,3,1024,1,16,4,1024,0,32,98.13,0.392664,60.27,30.4,5.6,1.87,1.87
bus_log_000088.csv,3,1024,1,8,2,1024,0,4,1,0,1,32,4,1024,1,8,99.97,0.4,33.33,49.97,16.53,0.13,0.03
bus_log_000089.csv,4,0,1,8,2,1024,1,4,3,0,1,8,1,0,0,8,100.0,0.400133,66.67,28.83,4.5,,
bus_log_000090.csv,4,1024,1,32,2,1024,0,8,1,1024,0,32,3,1024,1,32,99.8,0.399333,33.33,49.97,9.4,7.1,0.2
bus_log_000091.csv,1,1024,0,8,4,1024,0,8,2,1024,0,4,3,0,1,4,100.0,0.400133,65.43,24.4,10.17,,
bus_log_000092.csv,1,0,1,4,4,1024,1,32,3,0,0,32,2,1024,0,8,100.0,0.400133,65.43,24.4,8.13,2.03,
bus_log_000093.csv,3,0,1,32,2,1024,1,16,4,1024,0,16,1,0,0,4,100.0,0.400133,66.07,29.33,4.17,0.43,
bus_log_000094.csv,1,1024,1,4,3,0,1,16,4,1024,1,16,2,0,0,4,100.0,0.400133,65.13,23.83,9.23,1.8,
bus_log_000095.csv,1,1024,1,16,2,1024,1,8,3,0,0,8,4,1024,0,4,100.0,0.400133,63.47,31.7,3.87,0.97,
bus_log_000096.csv,3,1024,0,16,2,1024,0,8,1,1024,0,8,4,1024,1,16,100.0,0.400133,66.57,28.77,4.07,0.6,
bus_log_000097.csv,1,0,1,4,4,1024,1,4,3,1024,1,4,2,0,0,4,100.0,0.400133,65.43,24.4,10.17,,
bus_log_000098.csv,3,0,0,32,2,0,0,4,4,0,1,16,1,0,0,16,100.0,0.400133,50.0,40.0,10.0,,
bus_log_000099.csv,1,0,0,4,3,0,1,8,4,1024,0,16,2,1024,0,4,100.0,0.400133,65.43,24.4,9.23,0.93,
bus_log_000100.csv,1,0,1,8,2,0,0,16,3,1024,0,32,4,0,1,4,100.0,0.400133,65.43,32.57,2.0,,
bus_log_000101.csv,3,0,0,16,2,0,0,16,1,1024,1,32,4,1024,0,4,99.93,0.399867,33.33,48.53,16.0,2.07,0.07
bus_log_000102.csv,4,1024,1,16,2,0,1,16,3,0,0,16,1,1024,0,16,100.0,0.400133,50.0,40.0,10.0,,
bus_log_000103.csv,4,0,0,32,2,0,0,4,1,0,0,16,3,0,1,4,100.0,0.400133,50.0,40.0,10.0,,
bus_log_000104.csv,1,1024,0,4,4,1024,0,4,2,1024,1,8,3,0,0,32,100.0,0.400133,65.4,24.43,8.13,2.03,
bus_log_000105.csv,1,0,1,32,4,0,0,16,3,1024,1,32,2,0,1,4,99.97,0.4,59.2,29.67,7.47,3.63,0.03
bus_log_000106.csv,3,1024,0,16,2,0,1,4,1,1024,1,4,4,0,1,4,100.0,0.400133,66.67,28.83,4.07,0.43,
bus_log_000107.csv,1,0,0,4,3,0,0,4,4,0,0,8,2,0,1,8,100.0,0.400133,65.4,24.43,9.23,0.93,
bus_log_000108.csv,4,1024,0,8,2,1024,1,32,1,1024,0,32,3,0,0,8,100.0,0.400133,33.33,48.53,15.1,3.03,
bus_log_000109.csv,4,1024,1,16,3,1024,1,32,2,1024,0,8,1,1024,1,4,100.0,0.400133,66.67,33.33,,,
bus_log_000110.csv,1,1024,0,4,4,0,0,16,3,1024,0,32,2,1024,0,4,100.0,0.400133,65.43,24.4,8.13,2.03,
bus_log_000111.csv,3,1024,1,4,4,1024,0,16,1,0,1,4,2,0,1,8,100.0,0.400133,66.67,33.33,,,
bus_log_000112.csv,1,1024,0,8,3,0,1,16,4,1024,1,4,2,0,0,16,100.0,0.400133,65.43,18.3,16.27,,
bus_log_000113.csv,1,0,1,4,2,1024,1,4,3,0,1,8,4,1024,1,4,100.0,0.400133,65.33,32.57,2.07,0.03,
bus_log_000114.csv,3,1024,0,32,2,1024,0,16,1,1024,1,32,4,0,0,32,99.93,0.399867,33.33,48.53,16.0,2.07,0.07
bus_log_000115.csv,1,1024,0,8,4,1024,0,16,3,0,1,16,2,1024,0,16,100.0,0.400133,65.43,18.3,16.27,,
bus_log_000116.csv,4,1024,1,4,2,1024,0,4,1,1024,0,4,3,1024,1,32,100.0,0.400133,66.67,28.83,3.6,0.9,
bus_log_000117.csv,1,0,1,32,3,0,1,32,4,0,0,32,2,0,0,4,99.7,0.398933,61.47,26.97,10.33,0.93,0.3
